"","Date","Loop","Metadata file","GPSx","GPSy","Latitude","Longitude","Animal species","% Cover","% Leaf","% Green","% Seeds","% Forbs","Average Height","SD Height","CV Height","Average Hits/Pin","Average Leaves/Pin","Sp. Diversity","Filename","Habitat","NDVI","GrassNDVI"
"1","6/7/21","Section A, Loop 1","DSCN2749",261226,52202,0.469251593,36.85550015,"PZ",0.777777778,0.619047619,0.533333333,0.035714286,0.2,11.07407407,20.81221152,1.879363582,38.47619048,3.714285714,NA,NA,"LB",0.334202289581299,0.322618599952495
"2","6/7/21","Section A, Loop 1","DSCN2751",260934,52279,0.46994693,36.85287757,"GZ",0.888888889,0.661157025,0.56,0.024793388,0.193333333,10.25925926,10.92489251,1.064881219,35.58333333,2.424242424,NA,NA,"MB",0.3817278444767,0.705204631876072
"3","6/7/21","Section A, Loop 1","DSCN2752",258112,52097,0.46829357,36.82753472,"Ungrazed",0.964285714,0.67,0.537313433,0.02,0.004975124,16.67857143,12.01558732,0.720420653,49.48148148,3.045454545,NA,NA,"LB",0.373742461204529,0.401698943198955
"4","6/7/21","Loop 2","DSCN2740",261919,52943,0.475952892,36.86172175,"GZ",0.846153846,0.805194805,0.525641026,0,0.012820513,6.230769231,4.632992055,0.743566626,21.81818182,1.722222222,NA,NA,"LB",0.336617410182953,0.327448841155803
"5","6/7/21","Loop 2","DSCN2741",260446,55059,0.49507928,36.84848704,"Ungrazed",0.961538462,0.833333333,0.4609375,0.031746032,0.015625,11.5,6.008327554,0.522463266,34.16,2.763157895,NA,NA,"LB",0.338734984397888,0.331683989585673
"6","6/7/21","Loop 2","DSCN2742",260604,55684,0.500730317,36.84990416,"Ungrazed",0.92,0.839506173,0.505882353,0.012345679,0.047058824,6.8,5.361902647,0.788515095,22.17391304,2.266666667,NA,NA,"LB",0.318798452615738,0.291810926021373
"7","6/7/21","Loop 2","DSCN2743",260987,55549,0.499510933,36.85334418,"PZ_GZ",0.846153846,0.8,0.506849315,0,0.04109589,6.346153846,5.176425853,0.815679225,21.63636364,1.806451613,NA,NA,"OG",0.280812650918961,0.273593392219945
"8","6/10/21","Loop 2","DSCN6460",261744,52572,0.472598197,36.86015115,"PZ",1,0.724137931,0.54109589,0.006896552,0.006849315,18.70833333,12.13861666,0.648834744,49.58333333,2.916666667,NA,NA,"MB",0.330275237560272,0.190678562711792
"9","6/10/21","Loop 2","DSCN6461",261023,55190,0.496265344,36.85366855,"PZ_GZ",0.68,0.846153846,0.615384615,0,0,6.24,6.404946005,1.026433655,24.47058824,1.833333333,NA,NA,"LB",0.297092288732529,0.248398598254955
"10","6/10/21","Loop 2","DSCN6462",260207,55936,0.503007437,36.84633806,"GZ",0.833333333,0.797101449,0.507246377,0.028985507,0,7.416666667,5.315413736,0.716684998,24.7,1.896551724,NA,NA,"OG",0.349086493253708,0.349453217036331
"11","6/10/21","Loop 2","DSCN6463",261594,52633,0.473149275,36.85880387,"Ungrazed",0.791666667,0.744680851,0.489795918,0.031914894,0.040816327,11.25,15.40539149,1.369368132,38.73684211,2.8,NA,NA,"OG",0.308921426534653,0.30482536512627
"12","6/11/21","Loop 1","DSCN6464",260988,52261,0.469784344,36.85336258,"GZ",0.68,0.740740741,0.573170732,0.049382716,0.012195122,10.92,16.41117505,1.502854858,41.76470588,2.4,NA,NA,"MB",0.357868015766144,0.466606344770512
"13","6/11/21","Loop 1","DSCN6465",259652,50950,0.457928028,36.841368,"PZ",0.72,0.75,0.452054795,0.058823529,0.068493151,8.12,8.110281541,0.998803145,30.66666667,1.961538462,NA,NA,"LB",0.347871243953705,0.349956508697307
"14","6/11/21","Loop 1","DSCN6466",260628,50934,0.457786042,36.85013317,"Ungrazed",0.84,0.596638655,0.4375,0.084033613,0.0703125,23.92,25.53579187,1.067549828,69.14285714,3.086956522,NA,NA,"LB",0.339865922927856,0.333945866645609
"15","6/14/21","Loop 1","DSCN3249",258576,50692,0.455592546,36.83170558,NA,0.666666667,0.768292683,0.474747475,0,0.171717172,7.708333333,10.22987597,1.327119044,35.5,5.25,NA,NA,"LB",0.339368999004364,0.332952018798625
"16","6/14/21","Loop 1","DSCN3251",259086,51628,0.46405616,36.83628311,NA,0.833333333,0.641025641,0.52173913,0.038461538,0.152173913,8.625,11.05642642,1.281904513,29.9,2.173913043,NA,NA,"OG",0.279670715332031,0.272324574901134
"17","6/14/21","Loop 1","DSCN3252",259721,50426,0.453190803,36.84198908,NA,0.68,0.45,0.175,0.15,0,7.28,13.36512876,1.835869335,26.11764706,1.285714286,NA,NA,"OG",0.283705919981003,0.276808135622214
"18","6/14/21","2","3243",260980,55536,0.49939338,36.85328136,NA,0.76,0.755555556,0.68627451,0.088888889,0.117647059,5.68,6.067124525,1.068155726,20.31578947,1.888888889,NA,NA,"MB",0.407723039388657,0.965156580995642
"19","6/14/21","2","3244",260370,55564,0.499644711,36.84780302,NA,0.8,0.807692308,0.307692308,0.012820513,0,7.08,6.620171196,0.935052429,25.5,2.1,NA,NA,"LB",0.349699407815933,0.353612836421763
"20","6/14/21","2","3245",261736,51775,0.465392518,36.86008151,NA,0.88,0.891304348,0.481481481,0.02173913,0.148148148,6.24,6.050344343,0.969606465,19.09090909,1.576923077,NA,NA,"OG",0.309231132268906,0.305169482608773
"21","6/14/21","2","3246",260360,55721,0.501064102,36.84771275,NA,0.88,0.788461538,0.41509434,0,0.018867925,4.36,2.782085549,0.638093016,14.72727273,1.413793103,NA,NA,"MB",0.37051597237587,0.593085910867772
"22","6/17/21","1","7100",260717,51529,0.463165633,36.85093083,"PZ",0.84,0.81981982,0.447368421,0.036036036,0.026315789,14.16,14.97408873,1.057492142,44.57142857,2.757575758,NA,NA,"LB",0.315270930528641,0.284755881847179
"23","6/17/21","1","7101",259886,53284,0.479030072,36.84346298,"GZ/PZ",0.8,0.820512821,0.275,0.025641026,0.025,2.84,2.055075019,0.723617964,11.1,1.523809524,NA,NA,"LB",0.334598064422607,0.323410149635111
"24","6/17/21","1","7102",260171,53538,0.481327274,36.84602175,"GZ",0.72,0.777777778,0.489361702,0.044444444,0.042553191,4.8,4.760952286,0.99186506,18.55555556,1.590909091,NA,NA,"LB",0.353550672531128,0.361315365852153
"25","6/17/21","2","7095",261493,54066,0.486104689,36.85789276,"GZ/PZ/Cattle",0.96,0.64957265,0.325,0.017094017,0.025,15.4,11.47460965,0.745104523,42.08333333,2.375,NA,NA,"LB",0.333165198564529,0.320544417918955
"26","6/17/21","2","7096",261045,55175,0.496129794,36.85386617,"PZ",0.96,0.830508475,0.584615385,0,0.092307692,7.68,5.6029754,0.729554089,21.41666667,1.53125,NA,NA,"MB",0.369130998849869,0.579236175607762
"27","6/17/21","2","7097",260727,55450,0.498615109,36.85100948,"GZ",0.88,0.796610169,0.459016393,0.016949153,0.032786885,7.04,7.887120303,1.120329588,21.54545455,1.88,NA,NA,"MB",0.407723039388657,0.965156580995642
"28","6/17/21","2","7098",260142,55452,0.498631452,36.84575575,"Cattle",0.84,0.695652174,0.442307692,0.02173913,0.115384615,10.88,11.26691321,1.035561876,30.85714286,1.391304348,NA,NA,"MB",0.407723039388657,0.965156580995642
"29","6/21/21","1","3622",259716,50508,0.45393214,36.84194396,"GZ",0.666666667,0.617647059,0.450704225,0.058823529,0.042253521,12.70833333,11.45303896,0.901222738,47,2,NA,NA,"OG",0.28628745675087,0.279676509810955
"30","6/21/21","1","3623",259782,53767,0.483396515,36.84252761,"PZ",0.708333333,0.646341463,0.477777778,0.073170732,0.088888889,14.54166667,15.45253368,1.062638419,51.64705882,1.962962963,NA,NA,"OG",0.318485528230667,0.315452144788507
"31","6/21/21","1","3625",259548,51995,0.467375439,36.84043114,"GZ/PZ",0.833333333,0.689189189,0.258278146,0.02027027,0.01986755,33.25,22.08530891,0.664219817,94.9,3,NA,NA,"LB",0.298880696296692,0.251975413383281
"32","6/21/21","1","3626",259598,51436,0.462321738,36.84088172,"Cattle",0.76,0.625,0.472868217,0.058333333,0.069767442,6.44,9.669884522,1.501534864,30.52631579,2.5,NA,NA,"LB",0.311595976352692,0.277405973495281
"33","6/21/21","2","7104",261741,54241,0.487687575,36.86011949,NA,0.64,0.925925926,0.393939394,0,0.181818182,4.4,6.988085098,1.588201159,17.875,1.5625,NA,NA,"LB",0.328102022409439,0.310418065608775
"34","6/21/21","2","7105",261718,53750,0.48324839,36.85991434,NA,0.84,0.734375,0.292307692,0,0.015384615,8.04,6.648809417,0.826966345,25.33333333,1.807692308,NA,NA,"LB",0.335641980171204,0.325497981132305
"35","6/21/21","2","7106",261405,54307,0.488283306,36.85710176,NA,0.739130435,0.511111111,0.413043478,0,0.02173913,6.304347826,6.167619127,0.978311999,22.47058824,1.352941176,NA,NA,"LB",0.30101677775383,0.256247576297557
"36","6/24/21","1","DSCN5558",259450,53209,0.478350759,36.83954763,"PZ",0.64,0.660714286,0.4,0.071428571,0.066666667,8.04,13.00153837,1.617106763,32.625,1.85,NA,NA,"LB",0.376404494047165,0.407023008884227
"37","6/24/21","1","DSCN5559",259411,53350,0.479625407,36.83919698,"GZ",0.88,0.84057971,0.267605634,0.028985507,0.028169014,8.12,7.758436269,0.955472447,24.90909091,2.230769231,NA,NA,"LB",0.327139377593994,0.308492775977885
"38","6/24/21","1","DSCN5560",260604,51820,0.465796227,36.84991521,"Cattle",0.64,0.797101449,0.493150685,0.014492754,0.054794521,8.52,11.38024604,1.335709629,35.75,2.5,NA,NA,"OG",0.268870025873184,0.260323808835749
"39","6/24/21","1","DSCN5561",259578,53549,0.481425018,36.84069618,"GZ_PZ",0.666666667,0.816326531,0.423076923,0.040816327,0.057692308,6.25,7.974142996,1.275862879,25.25,2,NA,NA,"LB",0.323429763317108,0.301073547424113
"40","6/24/21","2","DSCN5562",261290,54676,0.491619083,36.85606791,"Cattle",0.76,0.765957447,0.333333333,0,0.078431373,6.4,7.285830998,1.138411093,22.21052632,2.117647059,NA,NA,"OG",0.303909808397293,0.299256900529203
"41","6/24/21","2","DSCN5563",259606,55319,0.49742742,36.84094249,"GZ",0.72,0.734693878,0.12244898,0,0,4.56,3.969466799,0.870497105,18.11111111,2,NA,NA,"OG",0.263314247131348,0.25415072134482
"42","6/24/21","2","DSCN5564",259577,53616,0.482030752,36.84068701,"PZ",0.8,0.623188406,0.397260274,0.072463768,0.054794521,10,9.508767884,0.950876788,32.3,1.535714286,NA,NA,"LB",0.357370108366013,0.368954237521923
"43","6/24/21","2","DSCN5565",260509,55751,0.501335775,36.84905079,"GZ_PZ",0.76,0.711111111,0.408163265,0,0.081632653,5.08,5.122824742,1.008430067,18.52631579,1.230769231,NA,NA,"LB",0.318798452615738,0.291810926021373
"44","6/28/21","1","DSCN5574",259775,51550,0.463352887,36.84247098,"GZ_PZ",0.76,0.534246575,0.413333333,0.01369863,0.026666667,12.32,13.1552271,1.067794407,40.31578947,1.772727273,NA,NA,"LB",0.323588699102402,0.301391418994701
"45","6/28/21","1","DSCN5575",260687,51889,0.46642028,36.85066042,"PZ",0.56,0.666666667,0.4,0.03030303,0.175,5.56,9.54410813,1.71656621,25.57142857,1.833333333,NA,NA,"LB",0.345321863889694,0.344857748569285
"46","6/28/21","1","DSCN5576",259503,51382,0.461833269,36.84002871,"Cattle",0.68,0.784810127,0.432098765,0.025316456,0.024691358,12.72,15.23570368,1.197775447,46.94117647,2.583333333,NA,NA,"OG",0.391683638095856,0.396783377972051
"47","6/28/21","2","DSCN5577",261093,55159,0.495985281,36.85429729,"PZ",0.68,0.69047619,0.326086957,0,0.086956522,4.84,6.6312392,1.370090744,19.64705882,1.45,NA,NA,"LB",0.309202134609222,0.272618290008341
"48","6/28/21","2","DSCN5578",259610,54957,0.494154641,36.84097948,"Cattle",0.68,0.75,0.541666667,0.020833333,0,7.4,7.93200269,1.071892255,27.41176471,1.8,NA,NA,"OG",0.307970136404037,0.303768376092252
"49","7/1/21","1","DSCN4554",260822,47517,0.426893727,36.85188436,"GZ_PZ",0.88,0.694736842,0.336633663,0,0.059405941,21.52,13.68734208,0.636028907,58.09090909,2.2,NA,NA,"LB",0.250597804784775,0.155409630359447
"50","7/1/21","1","DSCN4555",260822,47517,0.426893727,36.85188436,"Cattle",0.8,0.5,0.576086957,0,0,16.56,11.85003516,0.715581833,50.6,2.090909091,NA,NA,"LB",0.250597804784775,0.155409630359447
"51","7/1/21","1","DSCN4556",259506,51832,0.465901662,36.84005441,"PZ",0.68,0.531914894,0.5,0,0.06,14.28,14.37451448,1.006618661,53.76470588,2.941176471,NA,NA,"OG",0.281371414661407,0.274214240822663
"52","7/1/21","2","DSCN4557",260226,55760,0.501416297,36.84650922,"Cattle",0.6,0.571428571,0.74,0.035714286,0.44,2.52,3.906404997,1.550160713,15.06666667,2,NA,NA,"OG",0.332215577363968,0.33070775493662
"53","7/1/21","2","DSCN4558",260062,53974,0.485268786,36.84504161,"PZ",0.68,0.642857143,0.333333333,0.071428571,0.027777778,9,8.736894948,0.970766105,34.94117647,2.142857143,NA,NA,"OG",0.299725025892258,0.294607142190275
"54","7/5/21","1","DSCN4559",259714,50346,0.485268786,36.84504161,"Cattle",0.68,0.6625,0.345679012,0,0.012345679,9.4,9.371943946,0.997015313,37.17647059,2.409090909,NA,NA,"OG",0.299725025892258,0.294607142190275
"55","7/5/21","1","DSCN4560",259658,50139,0.450595904,36.84142408,"GZ_PZ",0.8,0.605263158,0.302631579,0,0,16.76,14.31863588,0.854333883,49.5,2.090909091,NA,NA,"LB",0.303977996110916,0.262170013011729
"56","7/5/21","2","DSCN4561",261155,55013,0.494665486,36.85485452,"PZ",0.6,0.8,0.269230769,0,0.038461538,3.84,3.793415348,0.98786858,16.26666667,1.25,NA,NA,"OG",0.309394747018814,0.305351276775337
"57","7/5/21","2","DSCN4562",261090,52439,0.471393916,36.85427812,"GZ",0.56,0.707692308,0.194029851,0.015384615,0.029850746,7.68,11.93635902,1.554213414,37,3.066666667,NA,NA,"LB",0.320578843355179,0.295371707500255
"58","7/5/21","2","DSCN4563",260244,53323,0.479383691,36.84667795,"Cattle",0.52,0.594594595,0.289473684,0.054054054,0.026315789,5.4,7.804912983,1.445354256,26.61538462,1.375,NA,NA,"LB",0.354081630706787,0.362377282203471
"59","7/8/21","1","DSCN4686",259734,50939,0.457828803,36.84210444,"Cattle",0.48,0.666666667,0.391304348,0.03030303,0.282608696,4.8,9.192388155,1.915080866,27.66666667,1.833333333,NA,NA,"LB",0.347871243953705,0.349956508697307
"60","7/8/21","1","DSCN4687",259970,49703,0.446654921,36.84422719,"PZ",0.48,0.653846154,0.346153846,0.038461538,0,4.68,6.18950725,1.322544284,23.83333333,1.545454545,NA,NA,"LB",0.316914737224579,0.288043495239055
"61","7/8/21","2","DSCN4690",259530,53930,0.484869446,36.84026401,"Cattle",0.76,0.683333333,0.215384615,0,0.076923077,10.12,14.92012064,1.474320222,33.47368421,1.952380952,NA,NA,"OG",0.281467705965042,0.274321231160035
"62","7/8/21","2","DSCN4691",260266,53964,0.485178968,36.8468737,"PZ",0.6,0.684210526,0.3,0,0.05,4.76,5.0849451,1.068265777,21.2,1.625,NA,NA,"LB",0.366952776908875,0.388119574607647
