"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.zebras","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","Distance.from.water"
"6/4/21","1","DSCN2512","3","1315","0.462613257","36.84806615","PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","2021","6","4","13","15","","","","4",NA
"6/9/21","2","DSCN6199","2","1101","0.498814734","36.85239056","Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","2021","6","9","11","1","","","","4",NA
"6/9/21","2","DSCN6199","3","113","0.481462847","36.84472529","Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","2021","6","9","1","13","Oryx"," Impala","","4",NA
"6/10/21","2","DSCN6458","1","1055","0.490301121","36.85837738","Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","2021","6","10","10","55","Oryx"," Impala","","4",NA
"6/11/21","2","DSCN6468","1","1120","0.497184191","36.84358289","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","2021","6","11","11","20","","","","3",NA
"6/12/21","2","DSCN6473","2","930","0.476963095","36.85777227","Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","2021","6","12","9","30","","","","3",NA
"6/12/21","2","DSCN6475","1","1006","0.499879586","36.84572777","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","2021","6","12","10","6","","","","4",NA
"6/12/21","2","DSCN3247","1","1029","0.455600409","36.8317498","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","2021","6","12","10","29","","","","4",NA
"6/12/21","2","DSCN3247","3","1126","0.465873341","36.83619868","Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","2021","6","12","11","26","","","","4",NA
"6/14/21","2","DSCN3241","1","1127","0.501133379","36.84777045","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","2021","6","14","11","27","","","","2",NA
"6/15/21","2","DSCN6973","1","930","0.477660938","36.85950232","Cattle","","full","light","no rain","Grazing","hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","Cyperus rubicundus","light","","","300","","","","","","","","","","","","","2021","6","15","9","30","","","","4",NA
"6/15/21","2","DSCN6974","2","1039","0.485785825","36.84534865","Cattle","","full","medium","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Pennisetum mezzianum","medium","","","220","","","","","","","","","","","","","2021","6","15","10","39","","","","4",NA
"6/16/21","2","DSCN7378","3","1213","0.500134224","36.85173496","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","","light","","","150","","","","","","","","","","","","","2021","6","16","12","13","","","","3",NA
"6/16/21","2","DSCN7379","1","1217","0.502111389","36.85056664","Cattle","","full","light","no rain","Drinking","hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","Microchloa kunthii","light","","","150","","","","","","","","","","","","","2021","6","16","12","17","","","","4",NA
"6/16/21","2","DSCN7380","1","1257","0.494742247","36.84913502","Cattle","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light","","","200","","","","","","","","","","","","","2021","6","16","12","57","","","","4",NA
"6/16/21","2","DSCN7380","2","1303","0.489298872","36.84842902","Cam","","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","","","","","","","","","","","","","","","","2021","6","16","13","3","","","","4",NA
"6/17/21","2","DSCN7997","2","1100","0.485345348","36.85832857","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","","","","","","","","","","","","","","","","2021","6","17","11","0","","","","4",NA
"6/17/21","2","DSCN7998","2","1240","0.49890006","36.85149937","Cattle","","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","162","","","","","","","","","","","","","2021","6","17","12","40","","","","3",NA
"6/17/21","2","DSCN7998","3","1308","0.49842216","36.84550815","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium","","","240","","","","","","","","","","","","","2021","6","17","13","8","","","","3",NA
"6/18/21","1","DSCN7109","3","1104","0.468435333","36.85156982","Cattle","","full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium","","","240","","","","","","","","","","","","","2021","6","18","11","4","","","","4",NA
"6/18/21","2","DSCN7111","3","1029","0.486811836","36.8604694","Cattle","","full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light","","","200","","","","","","","","","","","","","2021","6","18","10","29","","","","4",NA
"6/18/21","2","DSCN7112","2","1052","0.500591593","36.84561668","Cattle","","full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light","","","300","","","","","","","","","","","","","2021","6","18","10","52","Oryx","","","4",NA
"6/18/21","2","DSCN7113","1","1121","0.481442805","36.84456876","Cattle","","full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light","","","300","","","","","","","","","","","","","2021","6","18","11","21","","","","4",NA
"6/18/21","2","DSCN7113","2","1127","0.472066786","36.85210161","Cattle","","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light","","","100","","","","","","","","","","","","","2021","6","18","11","27","","","","4",NA
"6/21/21","1","DSCN3627","1","1030","0.462287155","36.84102734","Cattle","","no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","2021","6","21","10","30","","","","4",NA
"6/21/21","2","DSCN7107","1","1002","0.468119882","36.85876544","Cattle","","no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","120","","","","","","","","","","","","","2021","6","21","10","2","","","","3",NA
"6/21/21","2","DSCN7108","1","1034","0.487642345","36.86004173","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light","","","162","","","","","","","","","","","","","2021","6","21","10","34","","","","3",NA
"6/21/21","2","DSCN7108","3","1129","0.487708951","36.84743209","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light","","","220","","","","","","","","","","","","","2021","6","21","11","29","","","","3",NA
"6/3/21","2","DSCN2513","1","1020","0.468911959","36.85907079","PZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","light","1454","1477","12","1","","","","","","1","","","","","","2021","6","3","10","20","","","","4",NA
"6/3/21","2","DSCN2513","2","1025","0.47077494","36.85956264","GZ","0","full","light","no rain","Walking","hock","green with some brown","Chloris roxburghiana","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","light","1478","1527","14","1","","5","1","","","3","1","2","","","Outside study area","2021","6","3","10","25","Elephant","","","4",NA
"6/3/21","2","DSCN2513","3","1046","0.472146249","36.85981476","PZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1528","1566","23","2","","1","4","","","1","1","2","","","","2021","6","3","10","46","Impala","","","4",NA
"6/3/21","2","DSCN2513","3","1046","0.472146249","36.85981476","GZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1567","1566","3","","2","","","","","","","","","","","2021","6","3","10","46","Impala","","","4",NA
"6/3/21","2","DSCN2514","1","1055","0.476648303","36.85996747","PZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","10","1","","2","3","","","1","1","1","1","","","2021","6","3","10","55","Impala","","","4",NA
"6/3/21","2","DSCN2514","1","1055","0.476648303","36.85996747","GZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","7","1","","1","1","","11","1","1","","","","","2021","6","3","10","55","Impala","","","4",NA
"6/3/21","2","DSCN2514","2","1103","0.478243289","36.8614674","PZ","0","full","light","no rain","Grazing","hock","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Enteropogon macrostachyus","light","1603","1624","12","2","2","","7","","","","1","3","2","","","2021","6","3","11","3","Giraffe","","","4",NA
"6/3/21","2","DSCN2514","3","1116","0.470072435","36.86202857","PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","open grassland","1625","1697","33","3","","8","10","1","","1","3","4","3","","Photos up to 1741, see sheet for additional info","2021","6","3","11","16","Eland"," Giraffe","","4",NA
"6/3/21","2","DSCN2515","1","1126","0.478855584","36.86247627","GZ","0","full","light","no rain","Grazing","hoof","green","Digitaria macroblefara","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1698","1787","17","1","2","2","4","2","","1","1","2","2","","","2021","6","3","11","26","","","","4",NA
"6/3/21","2","DSCN2515","2","1137","0.04600112","36.85658199","GZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon nlemfuensis","Cyperus","light","1788","1816","5","0","1","","2","","","","","1","1","","","2021","6","3","11","37","Eland"," Impala","","4",NA
"6/3/21","2","DSCN2515","3","1148","0.50163067","36.85006329","GZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1817","1820","1","1","","","","","","","","","","","","2021","6","3","11","48","Elephant","","","4",NA
"6/3/21","2","DSCN2516","1","1158","0.497019943","36.83998142","GZ","0","full","light","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light","1821","1891","20","1","","10","","4","4","1","","","","","","2021","6","3","11","58","Impala","","","4",NA
"6/3/21","2","DSCN2516","2","1302","0.47880626","36.84758671","PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light","1892","1959","20","3","1","4","6","3","1","","2","3","","1","","2021","6","3","13","2","Elephant","","","4",NA
"6/3/21","2","DSCN2516","3","1314","0.481024214","36.8440771","PZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","36","","","","","","","","","","","","","2021","6","3","13","14","Impala","","","4",NA
"6/3/21","2","DSCN2516","3","1314","0.481024214","36.8440771","GZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","8","","8","","","","","","","","","","","2021","6","3","13","14","Impala","","","4",NA
"6/3/21","2","DSCN2517","1","1322","0.483220847","36.8394061","GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Cynodon nlemfuensis","Cynodon dactylon","light","2004","2017","4","","4","","","","","","","","","","","2021","6","3","13","22","Giraffe","","","4",NA
"6/3/21","2","DSCN2517","2","1328","0.48578593","36.83735492","GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","light","2018","2022","2","","","","1","","","","1","","","","","2021","6","3","13","28","","","","4",NA
"6/3/21","2","DSCN2517","3","1345","0.501811998","36.85066333","GZ","0","full","light","no rain","Drinking","hock","green with some brown","Cynodon plectostachyus","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","medium","2023","2044","5","","","3","","1","","1","","","","","","2021","6","3","13","45","","","","4",NA
"6/3/21","2","DSCN2518","1","1404","0.474282615","36.84896837","GZ","0","full","light","no rain","Walking","hock","green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","light","2045","2048","6","1","5","","","","","","","","","","","2021","6","3","14","4","","","","4",NA
"6/4/21","1","DSCN2507","1","1025","0.452792203","36.83933094","PZ","0","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","thick","2053","2071","6","1","","","1","3","","","1","","","","","2021","6","4","10","25","Giraffe","","","3",NA
"6/4/21","1","DSCN2507","2","1045","0.477839068","36.82977621","GZ","0","full","light","no rain","Grazing","belly","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Chloris roxburghiana","medium","2072","2126","10","","","1","","3","","6","","","","","","2021","6","4","10","45","Cattle","","","4",NA
"6/4/21","1","DSCN2507","3","1102","0.482575779","36.83464424","GZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2184","8","1","7","","","","","","","","","","","2021","6","4","11","2","","","","4",NA
"6/4/21","1","DSCN2507","3","1102","0.482575779","36.83464424","PZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2202","8","1","1","1","2","1","","","","2","","","","2021","6","4","11","2","","","","4",NA
"6/4/21","1","DSCN2509","1","1119","0.482913156","36.84354778","GZ","0","full","light","no rain","Walking","","brown with some green","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","light","2203","2256","6","","6","","","","","","","","","","","2021","6","4","11","19","Elephant","","","4",NA
"6/4/21","1","DSCN2509","2","1128","0.470724828","36.84041488","PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum mezzianum","medium","2257","2260","1","","1","","","","","","","","","","","2021","6","4","11","28","Impala","","","4",NA
"6/4/21","1","DSCN2509","3","1138","0.47000135","36.83922024","PZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","7","","","","","","","","","","","","","2021","6","4","11","38","Impala","","","4",NA
"6/4/21","1","DSCN2509","3","1138","0.47000135","36.83922024","GZ","1","full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium","2261","2293","3","","2","","","","1","","","","","","","2021","6","4","11","38","Impala","","","4",NA
"6/4/21","1","DSCN2510","1","1148","0.469732218","36.83658387","PZ","0","full","light","no rain","Walking","belly","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Chloris roxburghiana","medium","2294","2330","8","1","","1","3","","","","","1","2","","Soing'ash Dam Area ","2021","6","4","11","48","","","","4",NA
"6/4/21","1","DSCN2510","2","1203","0.450930767","36.84259335","PZ","0","full","no wind","no rain","Walking","belly","brown with some green","Themeda triandra","Pennisetum mezzianum","Cynodon plectostachyus","","thick","2331","2348","12","1","4","","1","","","","","","","1","","2021","6","4","12","3","Elephant"," Oryx","","3",NA
"6/4/21","1","DSCN2510","3","1215","0.466200303","36.84099728","PZ","0","full","light","no rain","Standing","hock","green with some brown","Pennisetum mezzianum","Cynodon nlemfuensis","Enteropogon macrostachyus","Cenchrus ciliaris","medium","2349","2377","7","1","","1","2","1","","","","1","","1","","2021","6","4","12","15","","","","4",NA
