Species,Abbreviation
Andropogon chinensis,ACHI
Aristida adscensionis,AA
Aristida congesta,AC
Aristida kenyensis,AK
Bothriochloa insculpta,"Both,BI"
Brachiaria eruciformis,BE
Brachiaria leersioides,BL
Cenchrus ciliaris,CC
Chloris gayana,"CHL.G,CG"
Chloris roxburghiana,"CHL. Rox,CR,CHL.R, Chrorox, Chlorox, CR"
Chloris virgata,"Chlo.V,CV,CHL.V"
Chrysopogon serrulatus,"CHRY. S,CS"
Cymbopogon commutatus,
Cymbopogon pospischilii,"Cymbo, Cymbopog"
Cynodon dactylon,CD
Cynodon nlemfuensis,CN
Cynodon plectostachyus,CP
Cyperus rigidifolius,
Cyperus rubicundus,"CYP.RUBI, Cyperus r, Cyp.r"
Cyperus teneristolon,CT
Cyperus,"Cpy, Cyp"
Dactyloctenium aegyptium,DA
Digitaria macroblefara,"Dig,DM,Dig.m"
Digitaria milanjiana,DIG.Mil
Digitaria sanguinalis,DS
Enneapogon scoparius,EPS
Enteropogon macrostachyus,"EPM,EM,Ent,Dnt,Ent.m"
Eragrostis biflora,EB
Eragrostis cilianensis,EC
Eragrostis porosa,EP
Eragrostis racemosa,ER
Eragrostis rigidior,E.RIG
Eragrostis robusta,ER
Eragrostis superba,ES
Eragrostis tenuifolia,ET
Harpachne schimperi ,HS
Heteropogon contortus,Het.c
Hyparrhenia schimperi,HYP.S
Kyllinga alba,"KYL,KI,KA"
Leptothrium senegalense ,LS
Lintonia nutans,LN
Melinis repens,MR
Microchloa kunthii,"micro,MK"
Panicum maximum,"PanM,PACMA"
Pennisetum stramineum,PS
Pennisetum mezzianum,PM
Salsola dendroides,SD
Setaria sphacelata,SS
Setaria verticillata,SV
Sporobolus africana,SPR. A
Sporobolus festivus,SPR. V
Sporobolus pyramidalis,SPR.P
Tetrapogon cenchriformis,TC
Themeda triandra,TT
Tragus berteronianus,"TB,TRG.B"
Eragrostis obtusa,EO